paperID,rank,title,PublicationDate,referenceCount,citationCount,ConferenceID,JournalID,year,venu,authorsName,abstract,isKeyPaper
1020953626,20052,A fast adaptive layout algorithm for undirected graphs (extended abstract and system demonstration),1994-10-10,11,89,1191926394,,1994,Graph Drawing (GD),"Arne Frick, Andreas Ludwig, Heiko Mehldau","We present a randomized adaptive layout algorithm for nicely drawing undirected graphs that is based on the spring-embedder paradigm and contains several new heuristics to improve the convergence, including local temperatures, gravitational forces and the detection of rotations and oscillations. The proposed algorithm achieves drawings of high quality on a wide range of graphs with standard settings. Moreover, the algorithm is fast, being thus applicable on general undirected graphs of substantially larger size and complexity than before [9, 6, 3]. Aesthetically pleasing solutions are found in most cases. We give empirical data for the running time of the algorithm and the quality of the computed layouts.",1
104000684,20620,Bitonic st-orderings of Biconnected Planar Graphs,2014-09-24,11,7,1191926394,,2014,Graph Drawing (GD),Martin Gronemann,"Vertex orderings play an important role in the design of graph drawing algorithms. Compared to canonical orderings, st-orderings lack a certain property that is required by many drawing methods. In this paper, we propose a new type of st-ordering for biconnected planar graphs that relates the ordering to the embedding. We describe a linear-time algorithm to obtain such an ordering and demonstrate its capabilities with two applications.",1
108564522,22347,The approximate rectangle of influence drawability problem,2012-09-19,29,1,1191926394,,2012,Graph Drawing (GD),"Emilio Di Giacomo, Giuseppe Liotta, Henk Meijer","We prove that all planar graphs have an open/closed (e1,e2)-rectangle of influence drawing for e1>0 and e2>0, while there are planar graphs which do not admit an open/closed (e1,0)-rectangle of influence drawing and planar graphs which do not admit a (0,e2)-rectangle of influence drawing. We then show that all outerplanar graphs have an open/closed (0,e2)-rectangle of influence drawing for any e2xe2x89xa50. We also prove that if e2>2 an open/closed (0, e2)-rectangle of influence drawing of an outerplanar graph can be computed in polynomial area. For values of e2 such that e2xe2x89xa42, we describe a drawing algorithm that computes (0,e2)-rectangle of influence drawings of binary trees in area $O(n^{2 f(varepsilon _2)})$, where f(e2) is a logarithmic function that tends to infinity as e2 tends to zero, and n is the number of vertices of the input tree.",1
113099415,20314,Anchored Drawings of Planar Graphs,2014-09-24,9,10,1191926394,,2014,Graph Drawing (GD),"Patrizio Angelini, Giordano Da Lozzo, Marco Di Bartolomeo, Giuseppe Di Battista, Seok-Hee Hong, Maurizio Patrignani, Vincenzo Roselli","In this paper we study the Anchored Graph Drawing AGD problem: Given a planar graph G, an initial placement for its vertices, and a distance d, produce a planar straight-line drawing of G such that each vertex is at distance at most d from its original position.n n We show that the AGD problem is NP-hard in several settings and provide a polynomial-time algorithm when d is the uniform distance L xe2x88x9e and edges are required to be drawn as horizontal or vertical segments.",1
113635010,21017,"Visual community detection: an evaluation of 2d, 3d perspective and 3d stereoscopic displays",2011-09-21,21,21,1191926394,,2011,Graph Drawing (GD),"Nicolas Greffard, Fabien Picarougne, Pascale Kuntz","3D drawing problems of the 90's were essentially restricted on representations in 3D perspective. However, recent technologies offer 3D stereoscopic representations of high quality which allow the introduction of binocular disparities, which is one of the main depth perception cues, not provided by the 3D perspective. This paper explores the relevance of stereoscopy for the visual identification of communities, which is a task of great importance in the analysis of social networks. A user study conducted on 35 participants with graphs of various complexity shows that stereoscopy outperforms 3D perspective in the vast majority of the cases. When comparing stereoscopy with 2D layouts, the response time is significantly lower for 2D but the quality of the results closely depend on the graph complexity: for a large number of clusters and a high probability of cluster overlapping stereoscopy outperforms 2D whereas for simple structures 2D layouts are more efficient.",1
114669477,21875,Realizing planar graphs as convex polytopes,2011-09-21,17,5,1191926394,,2011,Graph Drawing (GD),Günter Rote,"This is a survey on methods to construct a three-dimensional convex polytope with a given combinatorial structure, that is, with the edges forming a given 3-connected planar graph, focusing on efforts to achieve small integer coordinates.",1
117681138,20106,Strongly-Connected Outerplanar Graphs with Proper Touching Triangle Representations,2013-09-23,4,12,1191926394,,2013,Graph Drawing (GD),J. Joseph Fowler,"A proper touching triangle representation $mathcal{R}$ of an n-vertex planar graph consists of a triangle divided into n non-overlapping triangles. A pair of triangles are considered to be adjacent if they share a partial side of positive length. Each triangle in $mathcal{R}$ represents a vertex, while each pair of adjacent triangles represents an edge in the planar graph. We consider the problem of determining when a proper touching triangle representation exists for a strongly-connected outerplanar graph, which is biconnected and after the removal of all degree-2 vertices and outeredges, the resulting connected subgraph only has chord edges w.r.t. the original graph. We show that such a graph has a proper representation if and only if the graph has at most two internal faces i.e., faces with no outeredges.",1
121924889,21046,On the Complexity of HV-rectilinear Planarity Testing,2014-09-24,22,7,1191926394,,2014,Graph Drawing (GD),"Walter Didimo, Giuseppe Liotta, Maurizio Patrignani","An HV-restricted planar graph G is a planar graph with vertex-degree at most four and such that each edge is labeled either H horizontal or V vertical. The HV-rectilinear planarity testing problem asks whether G admits a planar drawing where every edge labeled V is drawn as a vertical segment and every edge labeled H is drawn as a horizontal segment. We prove that HV-rectilinear planarity testing is NP-complete even for graphs having vertex degree at most three, which solves an open problem posed by both Manuch et al. GD 2010 and Durucher et al. LATIN 2014. We also show that HV-rectilinear planarity can be tested in polynomial time for partial 2-trees of maximum degree four, which extends a previous result by Durucher et al. LATIN 2014 about HV-restricted planarity testing of biconnected outerplanar graphs of maximum degree three. When the test is positive, our algorithm returns an orthogonal representation of G that satisfies the given H- and V-labels on the edges.",1
126608460,21615,Planar lombardi drawings of outerpaths,2012-09-19,4,4,1191926394,,2012,Graph Drawing (GD),"Maarten Löffler, Martin Nöllenburg","A Lombardi drawing of a graph is a drawingwhere edges are represented by circular arcs that meet at each vertex v with perfect angular resolution 360xc2xb0/deg(v) [3]. It is known that Lombardi drawings do not always exist, and in particular, that planar Lombardi drawings of planar graphs do not always exist [1], even when the embedding is not fixed. Existence of planar Lombardi drawings is known for restricted classes of graphs, such as subcubic planar graphs [4], trees [2], Halin graphs and some very symmetric planar graphs [3]. On the other hand, all 2-degenerate graphs, including all outerplanar graphs, have Lombardi drawings, but not necessarily planar ones [3]. One question that was left open is whether outerplanar graphs always have planar Lombardi drawings or not.n n In this note, we report that the answer is yes for a more restricted subclass: the outerpaths, i.e., outerplanar graphs whose weak dual is a path. We sketch an algorithm that produces an outerplanar Lombardi drawing of any outerpath, in linear time.",1
129586635,23234,Characterizing Planarity by the Splittable Deque,2013-09-23,19,1,1191926394,,2013,Graph Drawing (GD),"Christopher Auer, Franz J. Brandenburg, Andreas Gleiβner, Kathrin Hanauer","A graph layout describes the processing of a graph G by a data structure $mathcal{D}$ , and the graph is called a $mathcal{D}$ -graph. The vertices of G are totally ordered in a linear layout and the edges are stored and organized in $mathcal{D}$ . At each vertex, all edges to predecessors in the linear layout are removed and all edges to successors are inserted. There are intriguing relationships between well-known data structures and classes of planar graphs: The stack graphs are the outerplanar graphs [4], the queue graphs are the arched leveled-planar graphs [12], the 2-stack graphs are the subgraphs of planar graphs with a Hamilton cycle [4], and the deque graphs are the subgraphs of planar graphs with a Hamilton path [2]. All of these are proper subclasses of the planar graphs, even for maximal planar graphs.n n We introduce splittable deques as a data structure to capture planarity. A splittable deque is a deque which can be split into sub-deques. The splittable deque provides a new insight into planarity testing by a game on switching trains. Here, we use it for a linear-time planarity test of a given rotation system.",1
