paperID,rank,title,PublicationDate,referenceCount,citationCount,ConferenceID,JournalID,year,venu,authorsName,abstract
121747584,26396,Représentation de graphes par ACP granulaire,2004-01-20,0,0,,,2004,,"Bruno Gaume, Louis Ferré","L'extraction d'information de grands graphes repose le plus souvent sur leur representation dans des espaces de dimension reduite et on utilise generalement des methodes factorielles appliquees a des mesures de dissimilarites calculees a partir des matrices associee du graphe ou l'analyse spectrale de leur Laplacien discret. Efficaces pour degager les structures globales, ces representations sont parfois peu exploitables des lors que l'on s'interesse a une perspective du graphe a partir de certains sommets privilegies. Or l'information recherchee a souvent un caractere local . Pour representer le graphe du point de vue d'un ou de plusieurs sommets selectionnes, nous proposons une methode d'Analyse en Composantes Principales Granulaire consistant a appliquer une A.C.P. filtree a un tableau de proximites. La visualisation d'un graphe de dictionnaire dont la mesure de proximite est obtenue a partir d'un algorithme original illustre notre propos."
66877890,23002,Tasks for Temporal Graph Visualisation,2014-02-10,7,1,,2597013281,2014,arXiv: Other Computer Science,"Natalie Kerracher, Jessie Kennedy, Kevin Chalmers","In [1], we describe the design and development of a task taxonomy for temporal graph visualisation. This paper details the full instantiation of that task taxonomy. Our task taxonomy is based on the Andrienko framework [2], which uses a systematic approach to develop a formal task framework for visual tasks specifically associated with Exploratory Data Analysis. The Andrienko framework is intended to be applicable to all types of data, however, it does not consider relational (graph) data. We therefore extended both their data model and task framework for temporal graph data, and instantiated the extended version to produce a comprehensive list of tasks of interest during exploratory analysis of temporal graph data. As expected, our instantiation of the framework resulted in a very large task list; with more than 144 variations of attribute based tasks alone, it is too large to fit in a standard journal paper, hence we provide the detailed listing in this document."
168610635,20935,Graph Visualisation and Navigation in Information Visualisation,1999-01-01,0,32,2754362256,,1999,Eurographics (Eurographics),"I. Herman, G. Melancon, Marshall",
241281005,21265,SCS Connector - Quantifying and Visualising Semantic Paths Between Entity Pairs,2014-05-25,16,6,1180003657,,2014,European Semantic Web Conference (ESWC),"Bernardo Pereira Nunes, José Eduardo Talavera Herrera, Davide Taibi, Giseli Rabello Lopes, Marco A. Casanova, Stefan Dietze","A key challenge of the Semantic Web lies in the creation of semantic links between Web resources. The creation of links serves as a mean to semantically enrich Web resources, connecting disparate information sources and facilitating data reuse and sharing. As the amount of data on the Web is ever increasing, automated methods to unveil links between Web resources are required. In this paper, we introduce a tool, called SCS Connector, that assists users to uncover links between entity pairs within and across datasets. SCS Connector provides a Web-based user interface and a RESTful API that enable users to interactively visualise and analyse paths between an entity pair ((e_i,e_j)) through known links that can reveal meaningful relationships between ((e_i,e_j)) according to a semantic connectivity score ((SCS))."
37202229,24044,Link Graph Visualisation,2012-01-01,0,0,,,2012,,Dan Petrovic,
622027729,22778,Graph visualisation to aid ontology evolution in Protege,2004-07-01,0,5,,,2004,,"B. Blundell, S. Pettifer",
1548468326,21039,WilmaScope Graph Visualisation,2004-10-10,4,18,1148385487,,2004,IEEE Symposium on Information Visualization (INFOVIS),"Adel Ahmed, Tim Dwyer, Colin Murray, Le Song, Ying Xin Wu","Our visualisation of the IEEE InfoVis citation network is based on 3D graph visualisation techniques. To make effective use of the third dimension we use a layered approach, constraining nodes to lie on parallel planes depending on parameters such as year of publication or link degree. Within the parallel planes nodes are arranged using a fast force-directed layout method. A number of clusters representing different research areas were identified using a self organising map approach."
1524166130,21936,A New Interactive Platform for Visual Analytics of Social Networks,2009-01-01,15,5,,,2009,,"Quang Vinh Nguyen, Mao Lin Huang","This paper presents a new interactive platform for visual analytics of large networks and graphs. The platform integrates multiple graph layouts, interactive navigations and clustering algorithms into an effective and flexible analytical visual environment for better understanding of the nature of variety of different networks. This could lead to the discovery and revealing of hidden structures and relationships among the network items as well as the attributes associated with particular focused elements. We provide a number of interactive navigation and exploration methods so that it can provide a flexible and controllable way to archive the preferable view for analytics. We are extending our visual analytics platform into a large and high-resolution display."
1583561069,22743,Extending the WilmaScope 3D graph visualisation system: software demonstration,2005-01-01,21,5,,,2005,,Tim Dwyer,"WILMASCOPE is an open-sourced, platform independent, interactive 3D graph visualisation system based on Java and Java3D. Application to a number of real-world relational network visualisation problems and continuous development over a number of years have seen the system evolve to a stage where it is becoming a stable and versatile platform for third-party developers. This paper outlines the architecture that has made this possible and briefly describes some of the features available in the current version."
1575244424,23045,A user study on curved edges in graph visualisation,2012-07-02,9,2,,,2012,,"Kai Xu, Chris Rooney, Peter J. Passmore, Dong-Han Ham","It seems that straight lines seldom occur in natural objects and that humans actually prefer curved lines [1]. Thus it may not seem surprising that in aesthetics, curved lines are often to be preferred over straight ones, as found for example in Hogarth's serpentine Line of Beauty [2]. More recently a number of confluent drawings [3] and edge bundling [4] methods have been proposed to reduce edge clutter by using curved edges. Inspired by the work of Mark Lombardi, there is also theoretical work [5] that uses curved edges to optimises angular resolution, i.e., keep the angles between adjacent edge uniform."
2026729066,18966,A survey of two-dimensional graph layout techniques for information visualisation,2013-07-01,111,110,,55152591,2013,Information Visualization,"Helen Gibson, Joe Faith, Paul Vickers","Many algorithms for graph layout have been devised over the last 30 years spanning both the graph drawing and information visualisation communities. This article first reviews the advances made in the field of graph drawing that have then often been applied by the information visualisation community. There then follows a discussion of a range of techniques developed specifically for graph visualisations. Graph drawing algorithms are categorised into the followings approaches: force- directed layouts, the use of dimension reduction in graph layout and computational improvements including multi-level techniques. While methods developed specifically for graph visualisation often make use of node-attributes by using them as constraints or for explicit representations in 2D space. The similarities and distinctions between these techniques are examined and the aim is to provide a detailed assessment of currently available graph layout techniques, specifically how they can be used by visualisation practitioners and to motivate further research in the area."
2037080513,20898,Visualising zones of collaboration in online collective activity: a case study in Wikipedia,2012-08-28,12,2,1194689000,,2012,European Conference on Cognitive Ergonomics (ECCE),"Dominique Fréard, Flore Barcellini, Françoise Détienne, Matthieu Quignard, Michael J. Baker, Alexandre Denis","Motivation -- This research aims to study the collective activity involved in co-elaborating knowledge objects in online communities, in this case, Wikipedia. Research approach -- We propose the design of a graph visualisation for studying communicating around shared task foci in collaborative editing of Wikipedia. Findings/Design -- Task foci of edits and interpersonal relations between participants shape a unified task structure that can be used to study subtasks that give rise to collaborative discussion, within the global collective process. Research limitations/Implications -- Our analysis is restricted to the editing process of a single article. Originality/Value -- We propose visualisation techniques of collective online activity using combinations of relations between task and discussion spaces. Take away message -- Online collective epistemic activity comprises alternation between decoupled action and zones of close collaboration between specific specialised participants, in relation to specific subtasks bearing on fundamental issues. This can be visualised across task and discussion spaces using specific techniques."
2068489605,20553,Visualising changes in fund manager holdings in two and a half-dimensions,2004-12-01,34,43,,55152591,2004,Information Visualization,"Tim Dwyer, David R. Gallagher","We explore a multiple view, or overview and detail, method for visualising a high-dimensional portfolio holdings data set with attributes that change over time. The method employs techniques from multidimensional scaling and graph visualisation to find a two-dimensional mapping for high-dimensional data. In both the overview and detail views, time is mapped to the third dimension providing a two and a half-dimensional view of changes in the data. We demonstrate the utility of the paradigm with a prototype system for visualisation of movements within a large set of UK fund managers' stock portfolios."
2073333674,20964,Information visualisation based on graph models,2013-05-01,14,13,,24861202,2013,Enterprise Information Systems,"V. N. Kasyanov, E. V. Kasyanova","Information visualisation is a key component of support tools for many applications in science and engineering. A graph is an abstract structure that is widely used to model information for its visualisation. In this paper, we consider practical and general graph formalism called hierarchical graphs and present the Higres and Visual Graph systems aimed at supporting information visualisation on the base of hierarchical graph models."
2118929483,22590,InfoVis 2004 Contest: WilmaScope Graph Visualisation,2004-01-01,5,3,,,2004,,"Adel Ahmed, Tim Dwyer, Ying Xin Wu","Our visualisation of the IEEE InfoVis citation network is based on 3D graph visualisation techniques. To make effective use of the third dimension we use a layered approach, constraining nodes to lie on parallel planes depending on parameters such as year of publication or link degree. Within the parallel planes nodes are arranged using a fast force-directed layout method. A number of clusters representing different research areas were identied using a self organising map approach."
2165284015,19931,A Task Taxonomy for Temporal Graph Visualisation,2015-10-01,30,44,,84775595,2015,IEEE Transactions on Visualization and Computer Graphics,"Natalie Kerracher, Jessie Kennedy, Kevin Chalmers","By extending and instantiating an existing formal task framework, we define a task taxonomy and task design space for temporal graph visualisation. We discuss the process involved in their generation, and describe how the design space can be xe2x80x98sliced and dicedxe2x80x99 into multiple overlapping task categories, requiring distinct visual techniques for their support. The approach addresses deficiencies in the task literature, offering domain independence, greater task coverage, and unambiguous task specification. The taxonomy and design space capture tasks for temporal graphs, and also static graphs, multivariate graphs, and graph comparison, and will be of value in the design and evaluation of temporal graph visualisation systems."
2146308472,20404,A comparison of set-based and graph-based visualisations of overlapping classification hierarchies,2000-05-01,26,41,1134066369,,2000,Advanced Visual Interfaces (AVI),"Martin Graham, Jessie Kennedy, Chris Hand","The visualisation of hierarchical information sets has been a staple of Information Visualisation since the field came into being in the early 1990's. However, at present, support for visualising the correlations between multiple, overlapping sets of hierarchical information has been lacking. This is despite the realisation that for certain tasks this information is as important as the information that forms the individual hierarchies. In response to this, we have produced two early visualisation prototypes, one based on a graph visualisation, and the other on a set-based metaphor, that endeavour to display such information in a readily perceived form to potential users. The science of botanical taxonomy is used as an example of a field where such a visualisation would be useful, and also as a resource for example information sets that the prototypes can act upon. Technical and perceptual issues involved in the design and implementation of both prototypes are discussed. Following this, informal user testing on both prototypes is described, which utilised user observation techniques to elicit qualitative feedback from the taxonomists. These findings are then used to emphasise the shortcomings and advantages of each prototype, and from these probable issues for future prototyping and development are drawn."
2262994315,20080,The Design Space of Temporal Graph Visualisation,2014-01-01,100,33,,,2014,,"Natalie Kerracher, Jessie Kennedy, Kevin Chalmers","This paper presents our work in mapping the design space of techniques for temporal graph visualisation. We identify two independent dimensions upon which the techniques can be classified: graph structural encoding and temporal encoding. Based on these dimensions, we create a matrix into which we organise existing techniques. We identify gaps in this design space which may prove interesting opportunities for the development of novel techniques. We also consider additional dimensions on which further useful classification could be made. In organising the disparate existing approaches from a wide range of domains, our classification will assist those new to the research area, and designers and evaluators developing systems for temporal graph data by raising awareness of the range of possible approaches available, and highlighting possible directions for further research."
2288482366,23940,Content Management System s využitím HTML5,2013-01-01,0,0,,,2013,,Jan Janoušek,"Cilem teto diplomove prace je vytvoxc5x99eni content management systemu s vyuxc5xbeitim modernich technologii z rodiny HTML5 a demonstrace jejich moxc5xbenosti. Prvni cast teto prace se zabxc3xbdva pxc5x99edstavenim samotneho standardu HTML5, jakoxc5xbeto klicove technologie pro tuto diplomovou praci a jeho srovnanim s jinxc3xbdmi technologiemi. Druha cast prace se zabxc3xbdva navrhem a implementaci komponent na nichxc5xbe bude system postaven a take praktickou ukazkou moxc5xbenosti hardwarovxc4x9b akcelerovane grafiky na webu, jakoxc5xbeto nedilne soucasti standardu HTML5. Txc5x99eti cast prace se vxc4x9bnuje navrhu a implementaci klicovxc3xbdch casti systemu. Posledni cast teto prace se vxc4x9bnuje user experience testovani navrxc5xbeeneho systemu a vxc3xbdkonnostnimu testovani komponenty vyuxc5xbeivajici hardwarovxc4x9b akcelerovanou grafiku."
2341844554,23384,Computational estimate visualisation andevaluation of agent classifiedrules learning system,2016-01-01,0,0,,,2016,,"Kennedy E. Ehimwenma, Martin Beer, Paul Crowther","Student modelling and agent classified rulesn learning as applied in the development of the intelligent Preassessment System has been presented in [10],[11]. In this paper, we now demystify the theory behind the development of the pre-assessment system followed by some computational experimentation and graph visualisation of the agent classified rules learning algorithm in the estimation and prediction of classified rules. In addition, we present some preliminary results of the pre-assessment system evaluation. From the results, it is gathered that the system has performed according to its design specification."
2483464578,24679,GRAPH VISUALISATION IN A COMPILER PROJECT,1996-11-01,0,1,,,1996,,"M. Alt, Christian Ferdinand, G. Sander",
2473451853,21099,A user-centred approach to information visualisation in nano-health,2016-01-01,38,2,,207086575,2016,International Journal of Bioinformatics Research and Applications,"Hui Yang, Kaizhi Tang, Xiong Liu, Lemin Xiao, Roger Xu, Soundar R. T. Kumara","Studying the Nanomaterial Environmental Impact NEI is a critical task in nano-health and safety. However, there is a lack of visual analytic tools that can efficiently query and present large-scale bibliography metadata, NEI characterisations and nanomaterial toxicity. This paper presents the user-centred design and implementation efforts of developing the Information Visualisation InfoVis module for NEI studies. We first describe a user-centred design approach to task analysis, visual representation selection and iterative validation and improvement. We then show how existing techniques, such as graph simplification, enriched visualisation algorithms and interactive features, can be usefully combined to aid users in gaining insights. We implement our techniques as a Drupal module, and demonstrate the utility of InfoVis through scenarios of constructing co-authorship network, nanomaterial terms co-occurrence network, NanoParticle Ontology tree and nanomaterial toxicity plot. Our design is supportive for analysts and researchers to identify concepts and relationships in NEI studies."
2562899347,22737,Graph visualisation by concurrent differential evolution,2015-01-01,10,0,,206406316,2015,Neural Network World,"Pavel Krömer, Michal Prilepok, Jan Platos, Vaclav Snasel",
2801007158,22381,APPLYING THE MULTIPLE DOMAIN MAPPING APPROACH TO VARIANT MANAGEMENT,2008-01-01,4,2,,,2008,,"F. Deubzer, T. Braun, M. Maurer, U. Lindemann","As todayxe2x80x99s markets show an increasing individualization, dynamics and diversity concerning the customers, different authors point out the relevance and challenge of efficient variant management. Accordingly to the different domains affected by the complexity of variant management, strategies to deal with this increasing complexity exist within domains such as engineering development, production, the organizational and the process domain. Companies lack the ability to enable transparency for the involved persons and gain overview over the complex interdependencies between those domains of variant management. The paper shows the adaptation of the multiple domain mapping approach to enable this holistic view on variant management."
2808836128,22381,An Efficient Graph Visualisation Framework for RefactorErl,2018-06-19,6,0,,,2018,,"M. Komaromi, István Bozó, Melinda Tóth",
2891571448,20346,Exploring the limits of complexity: A survey of empirical studies on graph visualisation,2018-12-01,116,31,,2898150413,2018,Visual Informatics,"Vahan Yoghourdjian, Daniel Archambault, Stephan Diehl, Tim Dwyer, Karsten Klein, Helen C. Purchase, Hsiang-Yun Wu","Abstract For decades, researchers in information visualisation and graph drawing have focused on developing techniques for the layout and display of very large and complex networks. Experiments involving human participants have also explored the readability of different styles of layout and representations for such networks. In both bodies of literature, networks are frequently referred to as being xe2x80x98largexe2x80x99 or xe2x80x98complexxe2x80x99, yet these terms are relative. From a human-centred, experiment point-of-view, what constitutes xe2x80x98largexe2x80x99 (for example) depends on several factors, such as data complexity, visual complexity, and the technology used. In this paper, we survey the literature on human-centred experiments to understand how, in practice, different features and characteristics of nodexe2x80x93link diagrams affect visual complexity."
2905314168,23422,Conversational AI: Automated Visualization of Complex Analytic Answers from Bots,2018-07-17,0,0,,,2018,,Bruno Pereira de Morais,"Enquadramento: Today's way to interact between a human and a computer system is changing. Computer systems are becoming more intelligent in the way they communicate with humans, with the latest developments in Natural Language Processing helping a lot the improvement of speech recognition and bot interaction. The days of having computer personal assistants has come, with Siri, Cortana and others. But the problem is that there are still areas more complex to be addressed, namely asking for data analysis to a personal assistant. One of the important components in an Analytics Chatbot or Assistant is the way it shows the answers, in particular, the analytical answers that are best shown in a visual way. Objetivos e Plano: The main goal of this internship is to develop an approach for the automation of answer visualisation of analytical questions made to a chatbot or virtual assistant. There is already a platform developed at Critical named ANSA, in which this internship is included, and the target language is the English language. This main goal can be subdivided in several tasks:- Defining the Answer Visualisation Possibilities- Graph Visualisation Library Study - Learning the ANSA Platform- Development of the Visualisation Solution based on Case-Based Reasoning - Testing and Benchmarking the Solution- Writing the internship proposal xe2x80x8b"
2894470038,22199,Blue Team Communication and Reporting for Enhancing Situational Awareness from White Team Perspective in Cyber Security Exercises,2018-08-27,13,2,,,2018,,"Tero Kokkonen, Samir Puuska","Cyber security exercises allow individuals and organisations to train and test their skills in complex cyber attack situations. In order to effectively organise and conduct such exercise, the exercise control team must have accurate situational awareness of the exercise teams. In this paper, the communication patterns collected during a large-scale cyber exercise, and their possible use in improving Situational awareness of exercise control team were analysed. Communication patterns were analysed using graph visualisation and time-series based methods. In addition, suitability of a new reporting tool was analysed. The reporting tool was developed for improving situational awareness and exercise control flow. The tool was used for real-time reporting and communication in various exercise related tasks. Based on the results, it can be stated that the communication patterns can be effectively used to infer performance of exercise teams and improve situational awareness of exercise control team in a complex large-scale cyber security exercise. In addition, the developed model and state-of-the-art reporting tool enable real-time analysis for achieving a better situational awareness for the exercise control of the cyber security exercise."
2945546688,23628,Automatska vizualizacija grafova,2016-07-11,0,0,,,2016,,Boris Generalić,U ovome radu opisan je algoritam koristen za automatsku vizualizaciju grafova koji vrhove grafa rasporexc4x91uje na temelju simulacije mexc4x91udjelovanja si
2951290071,21475,Exploring the Limits of Complexity: A Survey of Empirical Studies on Graph Visualisation,2018-09-02,127,0,,2595899084,2018,arXiv: Human-Computer Interaction,"Vahan Yoghourdjian, Daniel Archambault, Stephan Diehl, Tim Dwyer, Karsten Klein, Helen C. Purchase, Hsiang-Yun Wu","For decades, researchers in information visualisation and graph drawing have focused on developing techniques for the layout and display of very large and complex networks. Experiments involving human participants have also explored the readability of different styles of layout and representations for such networks. In both bodies of literature, networks are frequently referred to as being 'large' or 'complex', yet these terms are relative. From a human-centred, experiment point-of-view, what constitutes 'large' (for example) depends on several factors, such as data complexity, visual complexity, and the technology used. In this paper, we survey the literature on human-centred experiments to understand how, in practice, different features and characteristics of node-link diagrams affect visual complexity."
2981852459,23319,Automatické rozmisťování propojených modulů v nástroji I3T,2019-08-31,0,0,,,2019,,Marek Nechanský,
2990727507,24764,Graph visualisation of changes in Roman amphorae trade affectedby war or political conflicts,2018-06-12,0,0,,,2018,,"Věra Klontza, Eliška Petřeková, Barbora Ruffíni, Zuzana Žigová",The aim of the poster was to present the possibilities ofn network analyses for the historical interpretations based ofn large statistical datasets. The transport vessels (amphorae) ofn the Roman Empire period were used for the pilot study.
2963696571,20546,Computational estimate visualisation and evaluation of agent classified rules learning system,2016-02-01,0,5,,15272795,2016,International Journal of Emerging Technologies in Learning (ijet),"Kennedy E. Ehimwenma, Martin Beer, Paul Crowther","Student modelling and agent classified rules learning as applied in the development of the intelligent Pre-assessment System has been presented in [10],[11]. In this paper, we now demystify the theory behind the development of the pre-assessment system followed by some computational experimentation and graph visualisation of the agent classified rules learning algorithm estimation and prediction of classified rules. In addition, we present some preliminary results of the pre-assessment system evaluation. From the results it is gathered that the system has performed according to its design specification."
3033831327,20106,A Visual Approach for the SARS (Severe Acute Respiratory Syndrome) Outbreak Data Analysis.,2020-06-03,37,7,,15239247,2020,International Journal of Environmental Research and Public Health,"Jie Hua, Guohua Wang, Mao Lin Huang, Shuyang Hua, Shuanghe Yang","Virus outbreaks are threats to humanity, and coronaviruses are the latest of many epidemics in the last few decades in the world. SARS-CoV (Severe Acute Respiratory Syndrome Associated Coronavirus) is a member of the coronavirus family, so its study is useful for relevant virus data research. In this work, we conduct a proposed approach that is non-medical/clinical, generate graphs from five features of the SARS outbreak data in five countries and regions, and offer insights from a visual analysis perspective. The results show that prevention measures such as quarantine are the most common control policies used, and areas with strict measures did have fewer peak period days; for instance, Hong Kong handled the outbreak better than other areas. Data conflict issues found with this approach are discussed as well. Visual analysis is also proved to be a useful technique to present the SARS outbreak data at this stage; furthermore, we are proceeding to apply a similar methodology with more features to future COVID-19 research from a visual analysis perfective."
3002479065,23319,DATA VISUALISATION METHOD AND APPARATUS,2019-12-26,5,0,,,2019,,"Wilson David, Pennie Olivia","A method for presenting a data visualisation relating to a taxonomy, the method including generating a search query in accordance with user input commands provided via a client device and performing a search of a taxonomy database in accordance with the search query to determine search results including a plurality of taxonomy terms and relationships between the plurality of taxonomy terms. Graph data denoting relationships between the plurality of taxonomy terms is then generated using the search results. The client device then renders a graph visualisation using the graph data, wherein the visualisation includes number of nodes each node being indicative of one of a plurality of taxonomy terms. The graph also includes a number of connections between nodes the connections being indicative of relationships between the taxonomy terms. The invention also provides a career planning tool which provides recommendations based on the user's interaction with the graph visualisation."
2996459132,21025,Examining virtual reality navigation techniques for 3D network visualisations,2020-02-01,32,3,,,2020,,"Adam Drogemuller, Andrew Cunningham, James A. Walsh, Bruce H. Thomas, Maxime Cordeil, William Ross","Abstract Research into how virtual reality (VR) can be a beneficial technology for new and emerging large, complex data visualisations for data scientists is ongoing. In this paper, we evaluate three-dimensional VR navigation technique for data visualisations and test their effectiveness with a large graph visualisation. We evaluate two prominent navigation techniques employed in VR (Teleportation and One-Handed Flying) against two less common methods (Two-Handed Flying and Worlds-In-Miniature) and evaluate their performance and effectiveness through a series of tasks. We found Steering Patterns (One-Handed Flying and Two-Handed Flying) to be faster and preferred by participants for completing searching tasks in comparison to Teleportation. Worlds-In-Miniature was the least physically demanding of the navigations, and was preferred by participants for tasks that required an overview of the graph such as triangle counting. Research into how virtual reality (VR) can be a beneficial technology for new and emerging large, complex data visualisations for data scientists is ongoing. In this paper, we evaluate three-dimensional VR navigation technique for data visualisations and test their effectiveness with a large graph visualisation. We evaluate two prominent navigation techniques employed in VR (Teleportation and One-Handed Flying) against two less common methods (Two-Handed Flying and Worlds-In-Miniature) and evaluate their performance and effectiveness through a series of tasks. We found Steering Patterns (One-Handed Flying and Two-Handed Flying) to be faster and preferred by participants for completing searching tasks in comparison to Teleportation. Worlds-In-Miniature was the least physically demanding of the navigations, and was preferred by participants for tasks that required an overview of the graph such as triangle counting."
